Unnamed: 0;ID_hecho;FECHA;AAAA;MM;DD;ROL;VICTIMA;SEXO;EDAD
678;2021-0059;2021-07-22;2021;7;22;PASAJERO_ACOMPAÑANTE;AUTO;FEMENINO;44.0
679;2021-0060;2021-07-22;2021;7;22;PEATON;PEATON;FEMENINO;80.0
680;2021-0061;2021-07-24;2021;7;24;PEATON;PEATON;FEMENINO;55.0
681;2021-0062;2021-07-27;2021;7;27;CONDUCTOR;AUTO;MASCULINO;73.0
682;2021-0063;2021-08-02;2021;8;2;PASAJERO_ACOMPAÑANTE;AUTO;FEMENINO;31.0
683;2021-0064;2021-08-02;2021;8;2;PEATON;PEATON;MASCULINO;37.0
684;2021-0065;2021-08-06;2021;8;6;PEATON;PEATON;FEMENINO;63.0
685;2021-0066;2021-08-06;2021;8;6;PEATON;PEATON;MASCULINO;59.0
686;2021-0067;2021-08-08;2021;8;8;CONDUCTOR;MOTO;MASCULINO;27.0
687;2021-0068;2021-08-15;2021;8;15;CONDUCTOR;MOTO;MASCULINO;39.0
688;2021-0069;2021-08-20;2021;8;20;PEATON;PEATON;MASCULINO;17.0
689;2021-0070;2021-08-28;2021;8;28;CONDUCTOR;MOTO;MASCULINO;31.0
690;2021-0071;2021-08-31;2021;8;31;PEATON;PEATON;MASCULINO;88.0
691;2021-0072;2021-09-01;2021;9;1;PEATON;PEATON;FEMENINO;57.0
692;2021-0073;2021-09-18;2021;9;18;CICLISTA;BICICLETA;FEMENINO;76.0
693;2021-0074;2021-09-20;2021;9;20;CONDUCTOR;MOTO;MASCULINO;55.0
694;2021-0075;2021-09-21;2021;9;21;PEATON;PEATON;MASCULINO;65.0
695;2021-0076;2021-10-16;2021;10;16;CONDUCTOR;MOTO;MASCULINO;31.0
696;2021-0077;2021-10-18;2021;10;18;CONDUCTOR;MOTO;FEMENINO;31.0
697;2021-0078;2021-10-23;2021;10;23;CONDUCTOR;MOTO;MASCULINO;22.0
698;2021-0079;2021-10-25;2021;10;25;PEATON;PEATON;MASCULINO;42.0
699;2021-0080;2021-10-28;2021;10;28;CONDUCTOR;MOTO;MASCULINO;32.0
700;2021-0081;2021-11-02;2021;11;2;CONDUCTOR;MOTO;MASCULINO;26.0
701;2021-0082;2021-11-06;2021;11;6;CONDUCTOR;MOTO;MASCULINO;38.0
702;2021-0083;2021-11-09;2021;11;9;CONDUCTOR;MOTO;MASCULINO;30.0
703;2021-0084;2021-11-11;2021;11;11;CONDUCTOR;AUTO;MASCULINO;32.0
704;2021-0097;2021-11-18;2021;11;18;CICLISTA;BICICLETA;MASCULINO;53.0
705;2021-0085;2021-11-20;2021;11;20;CONDUCTOR;MOTO;MASCULINO;49.0
706;2021-0086;2021-11-25;2021;11;25;PEATON;PEATON;MASCULINO;75.0
707;2021-0087;2021-11-27;2021;11;27;PEATON;PEATON;FEMENINO;73.0
708;2021-0088;2021-12-01;2021;12;1;CONDUCTOR;MOTO;MASCULINO;45.0
709;2021-0089;2021-12-02;2021;12;2;CONDUCTOR;MOTO;MASCULINO;41.0
710;2021-0090;2021-12-10;2021;12;10;PEATON;PEATON;MASCULINO;73.0
